centroid_x_m,centroid_y_m,cell_id,qnr,qname,knr,kname,pop_total,pop_60plus,pop_80plus,share_60plus,share_80plus,hh_total,hh_einpersonen,share_einpersonen,pop_szenario_now,pop_szenario_future,growth_10y,dist_nearest_spitex_m,n_spitex_1000m,dist_nearest_oev_m,n_oev_stops_500m,demand_score,undersupply_score,accessibility_score,growth_score
2677124.694,1248084.105,1532,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,1749.4542691710506,0,1180.1057913004338,0,0.38605258850575336,0.5654785957042469,0.38488226303638984,0.1802758300808398
2678124.694,1248084.105,1533,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,1268.8696701872987,0,447.8183902666235,1,0.38605258850575336,0.40998960812885926,0.7685732245448225,0.1802758300808398
2677524.694,1248084.105,1534,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,1496.7853018789897,0,823.7162804393446,0,0.38605258850575336,0.48372973816899,0.5716169165354984,0.1802758300808398
2676524.694,1248084.105,1535,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,2211.543858918599,0,1538.6412442998733,0,0.38605258850575336,0.7149836831142612,0.19702321684495494,0.1802758300808398
2679124.694,1247884.105,1536,91,Albisrieden,9,Kreis 9,24304.0,4944.0,1335.0,0.2034233048057933,0.054929229756418695,11529,4794,0.41582097319802236,24250.0,26610.0,0.09731958762886599,592.8939284709334,1,210.46193637096295,4,0.38852867930625257,0.19128350741889277,0.8929390485189717,0.2051956769401246
2679124.694,1248084.105,1537,91,Albisrieden,9,Kreis 9,24304.0,4944.0,1335.0,0.2034233048057933,0.054929229756418695,11529,4794,0.41582097319802236,24250.0,26610.0,0.09731958762886599,463.2886901465628,1,252.44303646776498,3,0.38852867930625257,0.14935085428323847,0.8709425364410859,0.2051956769401246
2678524.694,1248084.105,1538,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,1023.9867237505225,0,386.38670611306543,1,0.38605258850575336,0.33075985025386856,0.8007611086005701,0.1802758300808398
2678724.694,1248084.105,1539,91,Albisrieden,9,Kreis 9,24304.0,4944.0,1335.0,0.2034233048057933,0.054929229756418695,11529,4794,0.41582097319802236,24250.0,26610.0,0.09731958762886599,831.0102348451904,1,201.9214863776464,1,0.38852867930625257,0.2683239774664479,0.8974139219976416,0.2051956769401246
2678924.694,1248084.105,1540,91,Albisrieden,9,Kreis 9,24304.0,4944.0,1335.0,0.2034233048057933,0.054929229756418695,11529,4794,0.41582097319802236,24250.0,26610.0,0.09731958762886599,642.3450867077511,1,110.67920609135068,4,0.38852867930625257,0.20728300167012872,0.9452214333706992,0.2051956769401246
2678524.694,1248284.105,1541,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,995.8222785303362,1,382.80110587731707,3,0.38605258850575336,0.321647487764164,0.8026398278030267,0.1802758300808398
2678324.694,1248284.105,1542,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,1049.0156528485431,0,257.80013704619336,2,0.38605258850575336,0.3388577436399172,0.8681356179157463,0.1802758300808398
2678724.694,1248284.105,1543,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,796.0472413226995,1,194.97252796471247,3,0.38605258850575336,0.2570120035144887,0.9010549139513152,0.1802758300808398
2678924.694,1248284.105,1544,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,596.4230129845845,1,97.42631400707012,2,0.38605258850575336,0.19242531216930706,0.9521654486567827,0.1802758300808398
2678324.694,1248484.105,1545,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,849.0874159479721,1,108.17999196260207,3,0.38605258850575336,0.2741726929555256,0.9465309272534579,0.1802758300808398
2676324.694,1248084.105,1546,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,2379.2936430631016,0,1688.886994046851,0,0.38605258850575336,0.7692576739116657,0.11830011427404019,0.1802758300808398
2677724.694,1248084.105,1547,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,1396.5150339044187,0,662.7111819343949,0,0.38605258850575336,0.4512881607979142,0.6559775117961997,0.1802758300808398
2678324.694,1248084.105,1548,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,1219.2291049746143,0,448.57430896234297,1,0.38605258850575336,0.39392883288988567,0.7681771516767473,0.1802758300808398
2677324.694,1248084.105,1549,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,1615.6974469005318,0,998.9148665731107,0,0.38605258850575336,0.5222027335144824,0.47981946942158993,0.1802758300808398
2676324.694,1248284.105,1550,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,2280.6915266910682,0,1793.9236624395749,0,0.38605258850575336,0.7373558125538564,0.06326486413543253,0.1802758300808398
2677724.694,1248284.105,1551,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,1220.97085957078,0,551.7500436437456,0,0.38605258850575336,0.3944923625147119,0.7141169605709624,0.1802758300808398
2676724.694,1248284.105,1552,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,1934.25175194973,0,1461.8882675022483,0,0.38605258850575336,0.6252682218481102,0.23723888001837534,0.1802758300808398
2676924.694,1248284.105,1553,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,1769.5247497338605,0,1310.1888820550946,0,0.38605258850575336,0.5719722259817505,0.316723632835759,0.1802758300808398
2677324.694,1248284.105,1554,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,1466.6266873069117,0,929.0171745779343,0,0.38605258850575336,0.473972179444876,0.5164432220779753,0.1802758300808398
2678124.694,1248284.105,1555,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,1072.6349984599483,0,256.48257379592565,1,0.38605258850575336,0.34649957848871715,0.8688259713338575,0.1802758300808398
2677924.694,1248284.105,1556,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,1131.6615394724215,0,380.92743490188366,1,0.38605258850575336,0.36559710496275394,0.8036215606815379,0.1802758300808398
2677124.694,1248284.105,1557,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,1612.794419608638,0,1123.5636656018714,0,0.38605258850575336,0.5212634841596867,0.41450820299436875,0.1802758300808398
2676524.694,1248284.105,1558,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,2105.0990095291286,0,1624.0811884449222,0,0.38605258850575336,0.6805443733669612,0.15225591062889865,0.1802758300808398
2677524.694,1248284.105,1559,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,1334.4968489737723,0,737.3944064480158,0,0.38605258850575336,0.4312227138266196,0.6168463207068443,0.1802758300808398
2676924.694,1248484.105,1560,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,1658.8349646425443,0,1181.6246894258645,0,0.38605258850575336,0.5361595040277374,0.38408641774210084,0.1802758300808398
2677524.694,1248484.105,1561,92,Altstetten,9,Kreis 9,36874.0,6802.0,1610.0,0.18446601941747573,0.04366220100884092,18340,8197,0.44694656488549617,36980.0,40280.0,0.08923742563547864,1183.806335479278,0,699.2799944663183,0,0.38605258850575336,0.382468102401241,0.6368168341417886,0.1802758300808398
